Origin,Destination,Distance_km
"Argyle Street, Kings Cross","New Kent Road, The Borough",4.4427
"Argyle Street, Kings Cross","Old Street Station, St. Luke's",2.4859
"Argyle Street, Kings Cross","Paddington Street, Marylebone",2.3436
"Argyle Street, Kings Cross","Park Lane , Hyde Park",3.1578
"Argyle Street, Kings Cross","Park Road (Baker Street), The Regent's Park",2.4831
"Argyle Street, Kings Cross","Park Street, Bankside",3.3841
"Argyle Street, Kings Cross","Phillimore Gardens, Kensington",6.0784
"Argyle Street, Kings Cross","Queen Street 1, Bank",2.9235
"Argyle Street, Kings Cross","Queen Victoria Street, St. Paul's",2.6701
"Argyle Street, Kings Cross","River Street , Clerkenwell",0.9671
"Argyle Street, Kings Cross","Roscoe Street, St. Luke's",2.1316
"Argyle Street, Kings Cross","Russell Square Station, Bloomsbury",0.667
"Argyle Street, Kings Cross","Scala Street, Fitzrovia",1.3478
"Argyle Street, Kings Cross","Shoreditch Park, Hoxton",2.6489
"Argyle Street, Kings Cross","Soho Square , Soho",1.6389
"Argyle Street, Kings Cross","St. Chad's Street, King's Cross",0.2176
"Argyle Street, Kings Cross","St. John Street, Finsbury",1.3347
"Argyle Street, Kings Cross","Stamford Street, South Bank",2.7857
"Argyle Street, Kings Cross","Tachbrook Street, Victoria",4.2664
"Argyle Street, Kings Cross","Tanner Street, Bermondsey",4.4809
"Argyle Street, Kings Cross","Taviton Street, Bloomsbury",0.6963
"Argyle Street, Kings Cross","Theobald's Road , Holborn",1.1017
"Argyle Street, Kings Cross","Torrens Street, Angel",1.3142
"Argyle Street, Kings Cross","Union Street, The Borough",3.3592
"Argyle Street, Kings Cross","Vauxhall Bridge , Pimlico",4.58
"Argyle Street, Kings Cross","Vauxhall Cross, Vauxhall",4.837
"Argyle Street, Kings Cross","Wapping High Street, Wapping",4.736
"Argyle Street, Kings Cross","Warwick Avenue Station, Maida Vale",4.1987
"Argyle Street, Kings Cross","Warwick Row, Westminster",3.7331
"Argyle Street, Kings Cross","Wellington Road, St. John's Wood",3.3848
"Argyle Street, Kings Cross","Wenlock Road , Hoxton",2.0854
"Argyle Street, Kings Cross","West Cromwell Road, Earl's Court",6.4976
"Argyle Street, Kings Cross","West Smithfield Rotunda, Farringdon",2.0288
"Argyle Street, Kings Cross","Westbourne Grove, Bayswater",4.8397
"Argyle Street, Kings Cross","William IV Street, Strand",2.2195
"Argyle Street, Kings Cross","Windsor Terrace, Hoxton",2.1116
"Argyle Street, Kings Cross","Woodstock Street, Mayfair",2.3473
"Argyle Street, Kings Cross","Worship Street, Shoreditch",3.1859
"Bankside Mix, Bankside","Albert Embankment, Vauxhall",2.3189
"Bankside Mix, Bankside","Aldersgate Street, Barbican",1.6822
"Bankside Mix, Bankside","Ampton Street , Clerkenwell",2.6955
"Bankside Mix, Bankside","Argyle Street, Kings Cross",3.0964
"Bankside Mix, Bankside","Bankside Mix, Bankside",0.0
